day,scenario,activity,class,is_anomaly,start,end,duration_sec
2025-01-01,morning,Sleep in Bed,normal,0,2025-01-01 06:00:00,2025-01-01 06:14:11,851
2025-01-01,morning,Take medication,normal,0,2025-01-01 06:14:11,2025-01-01 06:14:54,43
2025-01-01,morning,Go to toilet,normal,0,2025-01-01 06:14:54,2025-01-01 06:16:32,97
2025-01-01,morning,Dress,normal,0,2025-01-01 06:16:32,2025-01-01 06:18:32,119
2025-01-01,morning,Cook breakfast,normal,0,2025-01-01 06:18:32,2025-01-01 06:23:58,326
2025-01-01,morning,Eat breakfast,normal,0,2025-01-01 06:23:58,2025-01-01 06:29:07,309
2025-01-01,morning,Wash dishes,normal,0,2025-01-01 06:29:07,2025-01-01 06:37:59,532
2025-01-01,morning,Bathe,normal,0,2025-01-01 06:37:59,2025-01-01 06:46:01,481
2025-01-01,morning,Leave home,normal,0,2025-01-01 06:46:01,2025-01-01 06:46:24,23
2025-01-01,noon,Enter home,normal,0,2025-01-01 12:00:00,2025-01-01 12:00:14,14
2025-01-01,noon,Cook lunch,normal,0,2025-01-01 12:00:14,2025-01-01 12:06:09,355
2025-01-01,noon,Go to toilet,normal,0,2025-01-01 12:06:09,2025-01-01 12:07:40,90
2025-01-01,noon,Eat lunch,normal,0,2025-01-01 12:07:40,2025-01-01 12:15:09,448
2025-01-01,noon,Wash dishes,normal,0,2025-01-01 12:15:09,2025-01-01 12:22:29,440
2025-01-01,noon,Go to toilet,normal,0,2025-01-01 12:22:29,2025-01-01 12:24:16,107
2025-01-01,noon,Go to toilet,normal,0,2025-01-01 12:24:16,2025-01-01 12:25:55,98
2025-01-01,noon,Leave home,normal,0,2025-01-01 12:25:55,2025-01-01 12:26:20,24
2025-01-01,evening,Enter home,normal,0,2025-01-01 19:00:00,2025-01-01 19:00:14,14
2025-01-01,evening,Cook dinner,normal,0,2025-01-01 19:00:14,2025-01-01 19:09:52,578
2025-01-01,evening,Eat dinner,normal,0,2025-01-01 19:09:52,2025-01-01 19:18:03,490
2025-01-01,evening,Wash dishes,normal,0,2025-01-01 19:18:03,2025-01-01 19:27:38,575
2025-01-01,evening,Watch TV,normal,0,2025-01-01 19:27:38,2025-01-01 19:45:44,1085
2025-01-01,evening,Read,normal,0,2025-01-01 19:45:44,2025-01-01 19:55:32,587
2025-01-01,evening,Bathe,normal,0,2025-01-01 19:55:32,2025-01-01 20:03:09,457
2025-01-01,evening,Go to toilet,normal,0,2025-01-01 20:03:09,2025-01-01 20:05:08,119
2025-01-01,evening,Take medication,normal,0,2025-01-01 20:05:08,2025-01-01 20:05:55,46
2025-01-01,evening,Read,normal,0,2025-01-01 20:05:55,2025-01-01 20:15:49,594
2025-01-01,evening,Sleep,normal,0,2025-01-01 20:15:49,2025-01-01 20:50:38,2088
2025-01-02,morning,Sleep in Bed,normal,0,2025-01-02 07:00:00,2025-01-02 07:18:54,1134
2025-01-02,morning,Take medication,normal,0,2025-01-02 07:18:54,2025-01-02 07:19:35,41
2025-01-02,morning,Go to toilet,normal,0,2025-01-02 07:19:35,2025-01-02 07:21:35,119
2025-01-02,morning,Dress,normal,0,2025-01-02 07:21:35,2025-01-02 07:23:36,120
2025-01-02,morning,Cook breakfast,normal,0,2025-01-02 07:23:36,2025-01-02 07:29:11,335
2025-01-02,morning,Eat breakfast,normal,0,2025-01-02 07:29:11,2025-01-02 07:35:27,375
2025-01-02,morning,Wash dishes,normal,0,2025-01-02 07:35:27,2025-01-02 07:47:15,708
2025-01-02,morning,Bathe,normal,0,2025-01-02 07:47:15,2025-01-02 07:55:44,508
2025-01-02,morning,Go to toilet,normal,0,2025-01-02 07:55:44,2025-01-02 07:57:31,107
2025-01-02,morning,Leave home,normal,0,2025-01-02 07:57:31,2025-01-02 07:57:56,24
2025-01-02,noon,Enter home,normal,0,2025-01-02 12:00:00,2025-01-02 12:00:14,14
2025-01-02,noon,Cook lunch,normal,0,2025-01-02 12:00:14,2025-01-02 12:06:48,394
2025-01-02,noon,Eat lunch,normal,0,2025-01-02 12:06:48,2025-01-02 12:14:11,442
2025-01-02,noon,Go to toilet,normal,0,2025-01-02 12:14:11,2025-01-02 12:16:23,132
2025-01-02,noon,Wash dishes,normal,0,2025-01-02 12:16:23,2025-01-02 12:26:51,628
2025-01-02,noon,Go to toilet,normal,0,2025-01-02 12:26:51,2025-01-02 12:29:14,143
2025-01-02,noon,Leave home,normal,0,2025-01-02 12:29:14,2025-01-02 12:29:39,24
2025-01-02,evening,Enter home,normal,0,2025-01-02 18:00:00,2025-01-02 18:00:14,14
2025-01-02,evening,Cook dinner,normal,0,2025-01-02 18:00:14,2025-01-02 18:10:04,590
2025-01-02,evening,Eat dinner,normal,0,2025-01-02 18:10:04,2025-01-02 18:18:32,508
2025-01-02,evening,Wash dishes,normal,0,2025-01-02 18:18:32,2025-01-02 18:28:58,625
2025-01-02,evening,Read,normal,0,2025-01-02 18:28:58,2025-01-02 18:40:35,697
2025-01-02,evening,Bathe,normal,0,2025-01-02 18:40:35,2025-01-02 18:49:23,528
2025-01-02,evening,Go to toilet,normal,0,2025-01-02 18:49:23,2025-01-02 18:51:36,132
2025-01-02,evening,Missed medication,missed_medication,1,2025-01-02 18:51:36,2025-01-02 18:52:38,62
2025-01-02,evening,Sleep,normal,0,2025-01-02 18:52:38,2025-01-02 19:35:09,2551
2025-01-03,morning,Sleep in Bed,normal,0,2025-01-03 08:00:00,2025-01-03 08:22:13,1333
2025-01-03,morning,Go to toilet,normal,0,2025-01-03 08:22:13,2025-01-03 08:25:15,182
2025-01-03,morning,Take medication,normal,0,2025-01-03 08:25:15,2025-01-03 08:26:08,53
2025-01-03,morning,Go to toilet,normal,0,2025-01-03 08:26:08,2025-01-03 08:28:41,152
2025-01-03,morning,Dress,normal,0,2025-01-03 08:28:41,2025-01-03 08:31:50,188
