timestamp,sensor_id,type,room,value,activity,class
2025-01-01 06:00:00,floor_bedroom,Zone,bedroom,ON,Sleep in Bed,normal
2025-01-01 06:00:00,pressure_bed,Pressure,bedroom,ON,Sleep in Bed,normal
2025-01-01 06:14:05,pressure_bed,Pressure,bedroom,OFF,Sleep in Bed,normal
2025-01-01 06:14:12,contact_medication,Magnetic,bedroom,OPEN,Take medication,normal
2025-01-01 06:14:48,contact_medication,Magnetic,bedroom,CLOSED,Take medication,normal
2025-01-01 06:14:56,floor_bedroom,Zone,bedroom,OFF,Go to toilet,normal
2025-01-01 06:14:56,floor_dining_room,Zone,dining_room,ON,Go to toilet,normal
2025-01-01 06:14:59,floor_dining_room,Zone,dining_room,OFF,Go to toilet,normal
2025-01-01 06:14:59,floor_bathroom,Zone,bathroom,ON,Go to toilet,normal
2025-01-01 06:16:35,floor_bathroom,Zone,bathroom,OFF,Dress,normal
2025-01-01 06:16:35,floor_dining_room,Zone,dining_room,ON,Dress,normal
2025-01-01 06:16:38,floor_dining_room,Zone,dining_room,OFF,Dress,normal
2025-01-01 06:16:38,floor_bedroom,Zone,bedroom,ON,Dress,normal
2025-01-01 06:16:40,contact_wardrobe,Magnetic,bedroom,OPEN,Dress,normal
2025-01-01 06:18:26,contact_wardrobe,Magnetic,bedroom,CLOSED,Dress,normal
2025-01-01 06:18:32,light_kitchen,Light,kitchen,ON,Cook breakfast,normal
2025-01-01 06:18:36,floor_bedroom,Zone,bedroom,OFF,Cook breakfast,normal
2025-01-01 06:18:36,floor_kitchen,Zone,kitchen,ON,Cook breakfast,normal
2025-01-01 06:18:37,contact_fridge,Magnetic,kitchen,OPEN,Cook breakfast,normal
2025-01-01 06:19:00,contact_fridge,Magnetic,kitchen,CLOSED,Cook breakfast,normal
2025-01-01 06:19:08,power_kettle,Power,kitchen,ON,Cook breakfast,normal
2025-01-01 06:20:39,power_kettle,Power,kitchen,OFF,Cook breakfast,normal
2025-01-01 06:20:45,power_stove,Power,kitchen,ON,Cook breakfast,normal
2025-01-01 06:23:52,power_stove,Power,kitchen,OFF,Cook breakfast,normal
2025-01-01 06:24:01,floor_kitchen,Zone,kitchen,OFF,Eat breakfast,normal
2025-01-01 06:24:01,floor_bedroom,Zone,bedroom,ON,Eat breakfast,normal
2025-01-01 06:24:03,floor_bedroom,Zone,bedroom,OFF,Eat breakfast,normal
2025-01-01 06:24:03,floor_dining_room,Zone,dining_room,ON,Eat breakfast,normal
2025-01-01 06:29:09,floor_dining_room,Zone,dining_room,OFF,Wash dishes,normal
2025-01-01 06:29:09,floor_bedroom,Zone,bedroom,ON,Wash dishes,normal
2025-01-01 06:29:12,floor_bedroom,Zone,bedroom,OFF,Wash dishes,normal
2025-01-01 06:29:12,floor_kitchen,Zone,kitchen,ON,Wash dishes,normal
2025-01-01 06:29:15,power_dishwasher,Power,kitchen,ON,Wash dishes,normal
2025-01-01 06:37:53,power_dishwasher,Power,kitchen,OFF,Wash dishes,normal
2025-01-01 06:38:01,floor_kitchen,Zone,kitchen,OFF,Bathe,normal
2025-01-01 06:38:01,floor_bathroom,Zone,bathroom,ON,Bathe,normal
2025-01-01 06:38:03,light_bathroom,Light,bathroom,ON,Bathe,normal
2025-01-01 06:45:58,light_bathroom,Light,bathroom,OFF,Bathe,normal
2025-01-01 06:46:03,floor_bathroom,Zone,bathroom,OFF,Leave home,normal
2025-01-01 06:46:03,floor_dining_room,Zone,dining_room,ON,Leave home,normal
2025-01-01 06:46:06,floor_dining_room,Zone,dining_room,OFF,Leave home,normal
2025-01-01 06:46:06,floor_bedroom,Zone,bedroom,ON,Leave home,normal
2025-01-01 06:46:09,floor_bedroom,Zone,bedroom,OFF,Leave home,normal
2025-01-01 06:46:09,floor_entrance,Zone,entrance,ON,Leave home,normal
2025-01-01 06:46:10,contact_front_door,Magnetic,entrance,OPEN,Leave home,normal
2025-01-01 06:46:18,floor_entrance,Zone,entrance,OFF,Leave home,normal
2025-01-01 06:46:18,floor_outside,Zone,outside,ON,Leave home,normal
2025-01-01 06:46:18,contact_front_door,Magnetic,entrance,CLOSED,Leave home,normal
2025-01-01 12:00:00,contact_front_door,Magnetic,entrance,OPEN,Enter home,normal
2025-01-01 12:00:06,floor_outside,Zone,outside,OFF,Enter home,normal
2025-01-01 12:00:06,floor_entrance,Zone,entrance,ON,Enter home,normal
2025-01-01 12:00:08,contact_front_door,Magnetic,entrance,CLOSED,Enter home,normal
2025-01-01 12:00:18,floor_entrance,Zone,entrance,OFF,Cook lunch,normal
2025-01-01 12:00:18,floor_bedroom,Zone,bedroom,ON,Cook lunch,normal
